Exit stations,Entry stations->,,SUNDAY,,,Oct 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
MB, 	10 , 	14 , 	11 , 	14 , 	62 , 	12 , 	21 , 	19 , 	21 , 	12 , 	12 , 	30 , 	5 , 	7 , 	7 , 	3 , 	3 , 	4 , 	8 , 	10 , 	12 , 	13 , 	5 , 	16 , 	12 , 	134 , 	105 , 	374 , 	204 , 	117 , 	73 , 	45 , 	83 , 	82 , 	28 , 	4 , 	8 , 	5 , 	18 , 	13 , 	24 , 	310 , 	15 , 	3 ," 	1,979 ",,,,,,,,,,,
WD, 	1 , 	5 , 	4 , 	5 , 	11 , 	4 , 	6 , 	7 , 	8 , 	27 , 	26 , 	225 , 	18 , 	51 , 	17 , 	12 , 	11 , 	20 , 	2 , 	3 , 	3 , 	-   , 	1 , 	2 , 	6 , 	81 , 	42 , 	129 , 	63 , 	15 , 	8 , 	5 , 	26 , 	10 , 	2 , 	56 , 	11 , 	1 , 	3 , 	2 , 	2 , 	25 , 	1 , 	9 , 	960 ,,,,,,,,,,,
Entries," 	1,206 "," 	2,005 "," 	1,287 "," 	1,427 "," 	4,113 "," 	1,831 "," 	2,600 "," 	2,226 "," 	2,460 "," 	2,104 "," 	2,695 "," 	7,101 "," 	1,586 "," 	1,956 "," 	1,225 ", 	726 , 	963 ," 	1,972 "," 	1,320 "," 	1,238 "," 	1,704 ", 	885 , 	681 ," 	1,834 "," 	2,236 "," 	6,061 "," 	4,332 "," 	14,704 "," 	7,263 "," 	4,638 "," 	4,231 "," 	2,174 "," 	4,156 "," 	2,384 ", 	922 , 	778 ," 	2,192 ", 	437 ," 	1,485 ", 	643 , 	970 ," 	5,046 "," 	1,790 ", 	833 ," 	114,416 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
