Exit stations,Entry stations->,,SUNDAY,,,Feb 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
MB, 	12 , 	16 , 	12 , 	25 , 	77 , 	18 , 	20 , 	18 , 	31 , 	10 , 	17 , 	18 , 	10 , 	7 , 	4 , 	2 , 	4 , 	4 , 	9 , 	12 , 	17 , 	6 , 	6 , 	24 , 	11 , 	102 , 	93 , 	425 , 	176 , 	110 , 	115 , 	45 , 	75 , 	102 , 	30 , 	4 , 	9 , 	5 , 	23 , 	11 , 	33 , 	326 , 	12 , 	4 ," 	2,086 ",,,,,,,,,,,
WD, 	2 , 	4 , 	2 , 	6 , 	13 , 	3 , 	7 , 	6 , 	6 , 	16 , 	36 , 	42 , 	21 , 	62 , 	24 , 	9 , 	10 , 	14 , 	7 , 	2 , 	4 , 	1 , 	0 , 	2 , 	5 , 	80 , 	51 , 	144 , 	57 , 	14 , 	11 , 	7 , 	6 , 	12 , 	1 , 	43 , 	10 , 	0 , 	5 , 	2 , 	1 , 	16 , 	3 , 	3 , 	766 ,,,,,,,,,,,
Entries," 	1,674 "," 	2,469 "," 	1,628 "," 	1,985 "," 	5,039 "," 	2,296 "," 	3,558 "," 	2,694 "," 	3,448 "," 	2,468 "," 	3,379 "," 	3,020 "," 	1,607 "," 	2,178 "," 	1,445 ", 	850 ," 	1,011 "," 	2,026 "," 	1,620 "," 	1,320 "," 	2,003 "," 	1,036 ", 	822 ," 	2,367 "," 	2,649 "," 	7,249 "," 	5,240 "," 	19,160 "," 	8,300 "," 	5,763 "," 	6,047 "," 	2,844 "," 	4,544 "," 	2,897 "," 	1,110 ", 	837 ," 	2,014 ", 	434 ," 	1,736 ", 	721 ," 	1,302 "," 	4,913 "," 	1,792 ", 	705 ," 	132,197 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
