Exit stations,Entry stations->,,SUNDAY,,,Sep 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
SO, 	20 , 	51 , 	37 , 	62 , 	116 , 	36 , 	79 , 	47 , 	70 , 	20 , 	30 , 	58 , 	16 , 	11 , 	10 , 	7 , 	9 , 	27 , 	52 , 	95 , 	112 , 	66 , 	54 , 	84 , 	52 , 	407 , 	324 ," 	1,379 ", 	457 , 	190 , 	157 , 	64 , 	56 , 	105 , 	63 , 	9 , 	78 , 	20 , 	60 , 	27 , 	29 , 	41 , 	231 , 	21 ," 	4,932 ",,,,,,,,,,,
MB, 	14 , 	22 , 	16 , 	16 , 	93 , 	21 , 	22 , 	26 , 	36 , 	18 , 	19 , 	40 , 	8 , 	11 , 	7 , 	7 , 	3 , 	4 , 	10 , 	10 , 	19 , 	10 , 	4 , 	25 , 	12 , 	191 , 	125 , 	551 , 	296 , 	171 , 	123 , 	62 , 	80 , 	106 , 	37 , 	4 , 	10 , 	5 , 	24 , 	21 , 	22 , 	494 , 	28 , 	2 ," 	2,821 ",,,,,,,,,,,
WD, 	2 , 	6 , 	6 , 	3 , 	18 , 	5 , 	8 , 	13 , 	8 , 	35 , 	37 , 	265 , 	30 , 	81 , 	23 , 	17 , 	13 , 	32 , 	5 , 	4 , 	4 , 	1 , 	1 , 	4 , 	8 , 	198 , 	82 , 	187 , 	83 , 	22 , 	13 , 	8 , 	8 , 	14 , 	3 , 	72 , 	18 , 	1 , 	4 , 	0 , 	2 , 	55 , 	4 , 	8 ," 	1,404 ",,,,,,,,,,,
Entries," 	1,789 "," 	2,942 "," 	1,921 "," 	2,160 "," 	5,466 "," 	2,471 "," 	3,523 "," 	3,426 "," 	3,763 "," 	3,319 "," 	3,842 "," 	8,227 "," 	2,268 "," 	2,675 "," 	1,708 "," 	1,084 "," 	1,426 "," 	3,128 "," 	1,863 "," 	1,705 "," 	2,308 "," 	1,372 ", 	981 ," 	2,433 "," 	3,330 "," 	9,927 "," 	6,505 "," 	19,885 "," 	10,303 "," 	6,550 "," 	5,910 "," 	3,078 "," 	5,034 "," 	3,493 "," 	1,267 "," 	1,155 "," 	3,210 ", 	628 ," 	2,045 ", 	901 ," 	1,382 "," 	7,270 "," 	2,582 "," 	1,311 "," 	161,561 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
