Exit stations,Entry stations->,,SUNDAY,,,Apr 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
SO, 	24 , 	51 , 	42 , 	62 , 	118 , 	34 , 	75 , 	42 , 	56 , 	20 , 	32 , 	25 , 	23 , 	6 , 	9 , 	3 , 	11 , 	18 , 	56 , 	92 , 	113 , 	62 , 	52 , 	95 , 	60 , 	323 , 	250 ," 	1,199 ", 	305 , 	148 , 	107 , 	51 , 	50 , 	125 , 	67 , 	8 , 	61 , 	22 , 	64 , 	23 , 	24 , 	60 , 	182 , 	11 , 	25 , 	-   ," 	4,281 ",,,,,,,,,,,
MB, 	10 , 	19 , 	13 , 	17 , 	86 , 	18 , 	21 , 	22 , 	33 , 	12 , 	11 , 	26 , 	5 , 	6 , 	4 , 	3 , 	3 , 	4 , 	11 , 	13 , 	17 , 	6 , 	6 , 	24 , 	15 , 	132 , 	97 , 	416 , 	225 , 	127 , 	109 , 	53 , 	70 , 	95 , 	28 , 	3 , 	5 , 	4 , 	13 , 	13 , 	17 , 	391 , 	22 , 	2 , 	5 , 	-   ," 	2,225 ",,,,,,,,,,,
WD, 	2 , 	6 , 	3 , 	3 , 	18 , 	3 , 	8 , 	5 , 	4 , 	27 , 	29 , 	102 , 	17 , 	80 , 	37 , 	13 , 	10 , 	21 , 	3 , 	1 , 	1 , 	-   , 	1 , 	4 , 	6 , 	112 , 	57 , 	139 , 	50 , 	19 , 	7 , 	5 , 	7 , 	10 , 	1 , 	63 , 	17 , 	1 , 	3 , 	2 , 	1 , 	44 , 	3 , 	15 , 	30 , 	-   , 	984 ,,,,,,,,,,,
OA, 	3 , 	20 , 	13 , 	20 , 	63 , 	10 , 	13 , 	11 , 	24 , 	11 , 	6 , 	22 , 	2 , 	1 , 	3 , 	2 , 	4 , 	12 , 	11 , 	21 , 	18 , 	10 , 	7 , 	9 , 	5 , 	85 , 	46 , 	114 , 	39 , 	13 , 	12 , 	6 , 	5 , 	6 , 	2 , 	3 , 	21 , 	3 , 	12 , 	1 , 	1 , 	21 , 	1 , 	7 , 	11 , 	-   , 	723 ,,,,,,,,,,,
WS, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,,,,
Entries," 	1,527 "," 	2,477 "," 	1,659 "," 	1,793 "," 	5,044 "," 	2,045 "," 	3,019 "," 	2,928 "," 	3,015 "," 	2,474 "," 	3,115 "," 	4,013 "," 	2,272 "," 	1,452 "," 	1,145 ", 	610 , 	899 ," 	2,122 "," 	1,582 "," 	1,432 "," 	2,096 "," 	1,068 ", 	825 ," 	2,093 "," 	3,034 "," 	8,289 "," 	5,565 "," 	16,792 "," 	7,851 "," 	5,727 "," 	5,442 "," 	2,664 "," 	4,300 "," 	3,185 "," 	1,068 ", 	726 ," 	2,198 ", 	552 ," 	1,626 ", 	773 ," 	1,181 "," 	5,742 "," 	1,963 ", 	868 ," 	1,292 ", 	-   ," 	131,538 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
