Exit stations,Entry stations->,,SATURDAY,,,Feb 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
SO, 	28 , 	59 , 	44 , 	48 , 	109 , 	33 , 	55 , 	49 , 	53 , 	19 , 	30 , 	24 , 	25 , 	19 , 	13 , 	6 , 	11 , 	25 , 	49 , 	75 , 	83 , 	45 , 	40 , 	66 , 	68 , 	181 , 	171 , 	746 , 	257 , 	111 , 	100 , 	56 , 	75 , 	128 , 	89 , 	9 , 	56 , 	26 , 	86 , 	34 , 	38 , 	52 , 	210 , 	19 , 	15 , 	-   ," 	3,530 ",,,,,,,,,,
MB, 	13 , 	18 , 	15 , 	20 , 	116 , 	16 , 	25 , 	29 , 	38 , 	10 , 	16 , 	30 , 	5 , 	5 , 	5 , 	1 , 	2 , 	5 , 	9 , 	11 , 	21 , 	7 , 	6 , 	23 , 	15 , 	191 , 	336 , 	720 , 	397 , 	165 , 	153 , 	57 , 	81 , 	112 , 	38 , 	4 , 	12 , 	5 , 	18 , 	19 , 	23 , 	222 , 	31 , 	4 , 	5 , 	-   ," 	3,048 ",,,,,,,,,,
WD, 	4 , 	6 , 	7 , 	5 , 	40 , 	7 , 	11 , 	17 , 	9 , 	43 , 	54 , 	158 , 	36 , 	100 , 	48 , 	16 , 	16 , 	27 , 	5 , 	2 , 	2 , 	1 , 	0 , 	5 , 	5 , 	182 , 	150 , 	251 , 	118 , 	27 , 	27 , 	8 , 	10 , 	20 , 	1 , 	76 , 	32 , 	-   , 	4 , 	1 , 	4 , 	27 , 	5 , 	12 , 	13 , 	-   ," 	1,588 ",,,,,,,,,,
OA, 	6 , 	17 , 	18 , 	19 , 	43 , 	13 , 	13 , 	12 , 	19 , 	15 , 	8 , 	27 , 	7 , 	4 , 	9 , 	3 , 	5 , 	15 , 	14 , 	18 , 	14 , 	10 , 	7 , 	8 , 	3 , 	51 , 	33 , 	64 , 	37 , 	13 , 	14 , 	9 , 	4 , 	8 , 	1 , 	7 , 	27 , 	4 , 	11 , 	3 , 	1 , 	13 , 	3 , 	14 , 	3 , 	-   , 	641 ,,,,,,,,,,
WS, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,,,
Entries," 	2,089 "," 	3,891 "," 	2,561 "," 	2,673 "," 	7,869 "," 	2,837 "," 	4,279 "," 	4,355 "," 	4,535 "," 	3,395 "," 	4,673 "," 	5,769 "," 	2,855 "," 	3,028 "," 	2,206 "," 	1,239 "," 	1,692 "," 	3,493 "," 	2,289 "," 	2,161 "," 	3,046 "," 	1,574 "," 	1,271 "," 	3,186 "," 	4,649 "," 	11,556 "," 	11,375 "," 	25,144 "," 	11,477 "," 	7,755 "," 	7,768 "," 	3,829 "," 	5,653 "," 	4,814 "," 	1,425 "," 	1,483 "," 	3,705 ", 	781 ," 	2,496 "," 	1,166 "," 	1,585 "," 	4,651 "," 	3,245 "," 	1,573 ", 	812 , 	-   ," 	193,903 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
