Exit stations,Entry stations->,,SUNDAY,,,Jan 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
MB, 	11 , 	16 , 	14 , 	13 , 	67 , 	14 , 	16 , 	14 , 	28 , 	11 , 	15 , 	11 , 	11 , 	7 , 	4 , 	3 , 	5 , 	5 , 	11 , 	13 , 	17 , 	8 , 	6 , 	20 , 	11 , 	96 , 	104 , 	408 , 	186 , 	108 , 	108 , 	48 , 	89 , 	89 , 	29 , 	2 , 	8 , 	5 , 	19 , 	11 , 	27 , 	344 , 	10 , 	2 ," 	2,038 ",,,,,,,,,,,
WD, 	1 , 	4 , 	3 , 	2 , 	10 , 	5 , 	4 , 	6 , 	7 , 	21 , 	35 , 	37 , 	19 , 	53 , 	21 , 	8 , 	10 , 	14 , 	4 , 	1 , 	4 , 	2 , 	0 , 	2 , 	3 , 	70 , 	45 , 	126 , 	42 , 	10 , 	9 , 	5 , 	14 , 	8 , 	1 , 	49 , 	16 , 	1 , 	4 , 	1 , 	2 , 	27 , 	3 , 	4 , 	707 ,,,,,,,,,,,
Entries," 	1,411 "," 	2,017 "," 	1,387 "," 	1,600 "," 	4,220 "," 	1,935 "," 	2,868 "," 	2,258 "," 	2,728 "," 	2,121 "," 	2,961 "," 	2,719 "," 	1,447 "," 	1,923 "," 	1,356 ", 	797 , 	984 ," 	1,928 "," 	1,438 "," 	1,189 "," 	1,695 ", 	863 , 	683 ," 	1,859 "," 	2,063 "," 	5,748 "," 	4,554 "," 	16,933 "," 	6,970 "," 	5,121 "," 	5,306 "," 	2,621 "," 	4,655 "," 	2,512 "," 	1,018 ", 	768 ," 	1,803 ", 	367 ," 	1,553 ", 	663 ," 	1,145 "," 	4,644 "," 	1,732 ", 	612 ," 	115,173 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
