Exit stations,Entry stations->,,SUNDAY,,,Oct 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
SO, 	29 , 	53 , 	39 , 	58 , 	125 , 	37 , 	78 , 	48 , 	74 , 	24 , 	37 , 	50 , 	12 , 	16 , 	9 , 	5 , 	11 , 	16 , 	55 , 	93 , 	127 , 	70 , 	53 , 	102 , 	71 , 	298 , 	274 ," 	1,088 ", 	320 , 	141 , 	114 , 	48 , 	56 , 	130 , 	71 , 	10 , 	76 , 	24 , 	87 , 	23 , 	33 , 	74 , 	183 , 	24 , 	25 , 	-   ," 	4,391 ",,,,,,,,,,,
MB, 	10 , 	14 , 	11 , 	14 , 	77 , 	10 , 	23 , 	27 , 	29 , 	11 , 	11 , 	41 , 	7 , 	3 , 	3 , 	2 , 	3 , 	4 , 	12 , 	12 , 	16 , 	7 , 	6 , 	25 , 	13 , 	267 , 	149 , 	423 , 	256 , 	123 , 	87 , 	43 , 	63 , 	95 , 	27 , 	2 , 	10 , 	4 , 	12 , 	11 , 	20 , 	389 , 	21 , 	2 , 	9 , 	-   ," 	2,404 ",,,,,,,,,,,
WD, 	3 , 	6 , 	3 , 	4 , 	18 , 	4 , 	6 , 	8 , 	7 , 	38 , 	41 , 	323 , 	28 , 	66 , 	21 , 	9 , 	13 , 	27 , 	1 , 	1 , 	1 , 	1 , 	1 , 	2 , 	7 , 	214 , 	83 , 	172 , 	77 , 	22 , 	14 , 	7 , 	5 , 	16 , 	1 , 	58 , 	20 , 	1 , 	2 , 	2 , 	2 , 	49 , 	3 , 	10 , 	45 , 	-   ," 	1,441 ",,,,,,,,,,,
OA, 	6 , 	16 , 	12 , 	24 , 	87 , 	14 , 	13 , 	12 , 	29 , 	6 , 	5 , 	215 , 	3 , 	2 , 	4 , 	2 , 	7 , 	17 , 	12 , 	19 , 	19 , 	11 , 	6 , 	9 , 	3 , 	84 , 	51 , 	144 , 	52 , 	15 , 	17 , 	8 , 	6 , 	8 , 	0 , 	4 , 	30 , 	5 , 	11 , 	2 , 	1 , 	35 , 	3 , 	11 , 	3 , 	-   ," 	1,043 ",,,,,,,,,,,
WS, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,,,,
Entries," 	1,551 "," 	2,721 "," 	1,671 "," 	1,747 "," 	5,126 "," 	1,922 "," 	3,150 "," 	2,846 "," 	2,955 "," 	2,533 "," 	3,696 "," 	8,926 "," 	2,265 "," 	2,386 "," 	1,517 ", 	824 ," 	1,252 "," 	3,200 "," 	1,618 "," 	1,505 "," 	2,079 "," 	1,179 ", 	963 ," 	2,223 "," 	3,236 "," 	9,994 "," 	6,055 "," 	16,668 "," 	8,242 "," 	5,238 "," 	4,896 "," 	2,536 "," 	3,603 "," 	3,123 ", 	992 ," 	1,086 "," 	3,376 ", 	559 ," 	1,951 ", 	766 ," 	1,165 "," 	6,225 "," 	2,146 "," 	1,300 "," 	1,620 ", 	-   ," 	144,626 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
