Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Dec 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,
MB, 	10 , 	12 , 	10 , 	9 , 	45 , 	7 , 	11 , 	7 , 	19 , 	11 , 	16 , 	25 , 	9 , 	4 , 	6 , 	3 , 	5 , 	3 , 	13 , 	10 , 	13 , 	6 , 	5 , 	13 , 	8 , 	225 , 	117 , 	569 , 	180 , 	54 , 	69 , 	33 , 	54 , 	66 , 	34 , 	4 , 	11 , 	4 , 	15 , 	14 , 	14 , 	186 , 	13 ," 	1,940 ",,,,,,,,,,
Entries," 	1,773 "," 	3,268 "," 	2,023 "," 	2,012 "," 	5,219 "," 	2,379 "," 	3,480 "," 	2,369 "," 	4,071 "," 	2,195 "," 	4,043 "," 	4,765 "," 	2,294 "," 	2,770 "," 	1,937 "," 	1,182 "," 	1,651 "," 	2,864 "," 	2,121 "," 	2,021 "," 	2,692 "," 	1,387 "," 	1,280 "," 	2,752 "," 	2,855 "," 	8,885 "," 	6,619 "," 	26,280 "," 	9,702 "," 	6,266 "," 	7,386 "," 	3,719 "," 	6,315 "," 	3,607 "," 	1,472 "," 	1,198 "," 	3,676 ", 	553 ," 	2,001 ", 	858 ," 	1,148 "," 	3,064 "," 	2,139 "," 	160,293 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
